namespace,eva_part_name,qty,type,vendor_part_name,vendor_sku,vendor_ignore
cartesian,5015 fan,3,hardware,,,
cartesian,DIN 912 M3 12 mm,3,hardware,,,
cartesian,DIN 912 M3 25 mm,3,hardware,,,
cartesian,DIN 912 M3 30 mm,6,hardware,,,
cartesian,DIN 912 M3 40 mm,3,hardware,,,
cartesian,M3  Hex nut,24,hardware,,,
cartesian,M3s nut,3,hardware,,,
cartesian,back_cartesian,1,printable,,,
cartesian,back_idex_x1,1,printable,,,
cartesian,back_idex_x2,1,printable,,,
cartesian,cartesian_cable_fin,3,printable,,,
cartesian,tension_slider_6mm_belt_M3s,3,printable,,,
drives,5015 fan,14,hardware,,,
drives,BMG_Extruder,2,hardware,,,
drives,DIN 912 M3 10 mm,112,hardware,,,
drives,DIN 912 M3 12 mm,52,hardware,,,
drives,DIN 912 M3 16 mm,8,hardware,,,
drives,DIN 912 M3 20 mm,10,hardware,,,
drives,DIN 912 M3 25 mm,18,hardware,,,
drives,DIN 912 M3 35 mm,42,hardware,,,
drives,DIN 912 M3 40 mm,20,hardware,,,
drives,DIN 912 M3 8 mm,62,hardware,,,
drives,DIN 912 M5 45 mm,28,hardware,,,
drives,Duct v2.1 Angled 13.2deg,2,printable,,,
drives,Duct v2.1 Straight,12,printable,,,
drives,E3D Titan,2,hardware,,,
drives,HEMERA-175-SINK_1_1_1_1,2,hardware,,,
drives,Housing 1.5,2,hardware,,,
drives,LGX with copperhead screwmount,4,hardware,,,
drives,M3  Hex nut,296,hardware,,,
drives,M5  Hex nut Nyloc,28,hardware,,,
drives,PC4-M6,2,hardware,,,
drives,PTFE 60mm,2,hardware,,,
drives,PTFE 65mm,4,hardware,,,
drives,PTFE 75mm,2,hardware,,,
drives,SOCK,2,hardware,,,
drives,SSX_tensioner_thing_2426505,4,printable,,,
drives,TITAN-SINK-175-RH,2,hardware,,,
drives,V6-175-BREAK,2,hardware,,,
drives,V6-BLOCK-CARTRIDGE,2,hardware,,,
drives,V6-NOZZLE-ALL,2,hardware,,,
drives,aero_face,2,printable,,,
drives,aero_front_probe,2,printable,,,
drives,aero_front_probe_blank,2,printable,,,
drives,aero_support,2,printable,,,
drives,back_corexy,14,printable,,,
drives,bottom_mgn12_aero,1,printable,,,
drives,bottom_mgn12_hemera,1,printable,,,
drives,bottom_mgn12_short_duct,5,printable,,,
drives,bottom_mgn15,5,printable,,,
drives,bottom_mgn15_aero,1,printable,,,
drives,bottom_mgn15_hemera,1,printable,,,
drives,cable_holder,14,printable,,,
drives,face_belt_grabber,28,printable,,,
drives,hemera_face,2,printable,,,
drives,hemera_probe_adapter,2,printable,,,
drives,press fit,2,printable,,,
drives,tension_slider_9mm_belt_M5,28,printable,,,
drives,top_bmg_mgn12,1,printable,,,
drives,top_bmg_mgn15,1,printable,,,
drives,top_lgx_mgn12_a,1,printable,,,
drives,top_lgx_mgn12_b,1,printable,,,
drives,top_lgx_mgn15_a,1,printable,,,
drives,top_lgx_mgn15_b,1,printable,,,
drives,top_mgn12,3,printable,,,
drives,top_mgn15,3,printable,,,
drives,top_orbiter_mgn12,1,printable,,,
drives,top_orbiter_mgn15,1,printable,,,
drives,top_titan_mgn12,1,printable,,,
drives,top_titan_mgn15,1,printable,,,
drives,universal_face,10,printable,,,
drives,unversal_cable_mount,14,printable,,,
hotends,4010 FAN,4,hardware,,,
hotends,COP-P010 hot block,1,hardware,,,
hotends,COP-P02_ heat sink_WITH SCREW MOUNT 1.75,1,hardware,,,
hotends,COP-P03_ heat break shank_STANDARD,1,hardware,,,
hotends,COP-P04_ heat break bushing_1.75,1,hardware,,,
hotends,COP-P05_ heat break tubes_1.75,1,hardware,,,
hotends,Copperhead - AccuGroup SSCL-M3-5-A2 low head socket cap screw,2,hardware,,,
hotends,Copperhead - John Guest MM2804N half cartridge for 4mm tube_1.75,1,hardware,,,
hotends,Copperhead - John Guest PM1804R collet clip for 4mm tube_1.75,1,hardware,,,
hotends,Copperhead - Misumi WSIS-STCB-M2.5 flat washer,1,hardware,,,
hotends,Copperhead - NZL-P___ nozzle_1.75  0.4 VANADIUM,1,hardware,,,
hotends,Copperhead - Newport Fasteners 341487-1000 socket head cap screw,1,hardware,,,
hotends,DIN 912 M2.5 12 mm,2,hardware,,,
hotends,DIN 912 M3 10 mm,7,hardware,,,
hotends,DIN 912 M3 20 mm,10,hardware,,,
hotends,DIN 912 M3 25 mm,12,hardware,,,
hotends,DIN 912 M3 30 mm,2,hardware,,,
hotends,DIN 912 M3 8 mm,5,hardware,,,
hotends,Dragon hotend,1,hardware,,,
hotends,M3  Hex nut,24,hardware,,,
hotends,SOCK,1,hardware,,,
hotends,V6-175-BREAK,1,hardware,,,
hotends,V6-175-SINK,1,hardware,,,
hotends,V6-BLOCK-CARTRIDGE,1,hardware,,,
hotends,V6-NOZZLE-ALL,1,hardware,,,
hotends,copperhead_face,1,printable,,,
hotends,copperhead_support_a,1,printable,,,
hotends,copperhead_support_b,1,printable,,,
hotends,dragon_face,1,printable,,,
hotends,mosquito_face,1,printable,,,
hotends,mosquito_support,1,printable,,,
hotends,shroud,4,printable,,,
hotends,v6_face,1,printable,,,
hotends,v6_face_clamp,1,printable,,,
hotends,v6_support,2,printable,,,
probes,12mm Inductive Probe,1,hardware,,,
probes,18mm Inductive Probe,1,hardware,,,
probes,8mm Inductive Probe,1,hardware,,,
probes,BLTouch,2,hardware,,,
probes,DIN 912 M2.5 10 mm,4,hardware,,,
probes,LJ12_probe_mount,1,printable,,,
probes,LJ18_probe_mount,1,printable,,,
probes,LJ8_probe_mount,1,printable,,,
probes,bl_touch_mount,1,printable,,,
probes,bl_touch_mount_alt,1,printable,,,
probes,bl_touch_mount_alt_volcano,1,printable,,,
probes,bl_touch_mount_volcano,1,printable,,,
x_endstops,DIN 912 M2 10 mm,4,hardware,,,
x_endstops,DIN 912 M3 6 mm,7,hardware,,,
x_endstops,DIN 912 M3 8 mm,3,hardware,,,
x_endstops,M3  Hex nut,6,hardware,,,
x_endstops,Micro Limit Switch,2,hardware,,,
x_endstops,top_angled_endstop_plug_mgn15,1,printable,,,
x_endstops,top_endstop_angled,1,printable,,,
x_endstops,top_endstop_openbuilds,1,printable,,,
x_endstops,top_endstop_openbuilds_mgn15,1,printable,,,
x_endstops,top_endstop_plug_mgn12,1,printable,,,
x_endstops,top_endstop_plug_mgn15,1,printable,,,
